Instance,Branch_and_Cut_Objective_Value,Status_obj,Fixed_and_Relax_alpha1beta1_Objective_Value,Fixed_and_Relax_alpha2beta3_Objective_Value,Branch_and_Cut_CPU_time,Fixed_and_Relax_alpha1beta1_CPU_time,Fixed_and_Relax_alpha2beta3_CPU_time
m2_r5_e3_p2_l2_t4_ver0,2734.2098,Optimal,2738.535996,2734.2098,9.25,42.53125,10.609375
m2_r5_e3_p2_l2_t4_ver1,3176.92169,Optimal,3185.580572,3176.92169,149.671875,251.25,116.890625
m2_r5_e3_p2_l2_t4_ver2,2667.317969,Optimal,2678.594779,2667.317969,17.140625,42.71875,18.96875
m2_r5_e3_p2_l2_t4_ver3,3149.05791,Optimal,3149.05791,3149.05791,65.4375,48.671875,59.15625
m2_r5_e3_p2_l2_t4_ver4,3261.624664,Optimal,3290.054768,3261.624664,102.3125,145.703125,94.90625
m2_r5_e3_p2_l2_t5_ver0,3658.095807,Optimal,3658.095807,3658.095807,502.578125,241.328125,531.515625
m2_r5_e3_p2_l2_t5_ver1,3205.297926,Optimal,3205.297926,3205.297926,87.859375,268.46875,160.234375
m2_r5_e3_p2_l2_t5_ver2,2914.872109,Optimal,2933.543006,2914.872109,3040.96875,3481.5625,1607.421875
m2_r5_e3_p2_l2_t5_ver3,4281.540052,Optimal,4281.540052,4281.540052,1081.5,3361.375,1118.5
m2_r5_e3_p2_l2_t5_ver4,4348.697502,Optimal,4490.568751,4348.697502,1632.46875,2155.3125,1958.046875
m2_r5_e3_p2_l2_t6_ver0,4172.092488,Optimal,4189.356862,4172.092488,928.125,3589.140625,775
m2_r5_e3_p2_l2_t6_ver1,4260.390544,Optimal,4272.743553,4260.390544,1860.609375,3583.625,1776.84375
m2_r5_e3_p2_l2_t6_ver2,4399.950621,Optimal,4419.367317,4399.950621,3009.234375,3589.265625,3600
m2_r5_e3_p2_l2_t6_ver3,4971.478315,Feasible,5017.154086,4971.478315,3599.109375,3590.59375,3600
m2_r5_e3_p2_l2_t6_ver4,2991.419929,Optimal,2991.419929,#N/A,3323.0625,3583.96875,#N/A
m2_r5_e3_p3_l2_t4_ver0,4195.345945,Optimal,4225.013603,4195.345945,284.515625,459.25,239.75
m2_r5_e3_p3_l2_t4_ver1,3852.490047,Optimal,3852.490047,3852.490047,157.03125,529.265625,120.40625
m2_r5_e3_p3_l2_t4_ver2,4204.758419,Optimal,4217.955656,4204.758419,116.3125,574.5,116.796875
m2_r5_e3_p3_l2_t4_ver3,3726.17333,Optimal,3726.17333,3726.17333,100.640625,275.234375,127.5625
m2_r5_e3_p3_l2_t4_ver4,3954.833519,Optimal,3954.833519,3954.833519,54.046875,468.84375,63.078125
m2_r5_e3_p3_l2_t5_ver0,3726.164592,Optimal,3726.164592,3726.164592,319.53125,3382.734375,344.5625
